id,mensa_id,date,name,category,prices_students,notes
66044,114,2012-08-20,Bunter Salatteller mit Käsestreifen und einem Brötchen,Tagesgericht,,[]
66043,114,2012-08-20,Rinderschmorbraten in Rotweinsauce,Menü 3,,[]
66042,114,2012-08-20,Hokifischfilet auf Basilikum-Meerrettichsauce,Menü,,[]
66047,114,2012-08-21,Spinat-Käseknödel mit Tomatensauce und Reis dazu gemischter Salat,Tagesgericht,,[]
66046,114,2012-08-21,Geschmortes Rindersteak mit Gemüsestreifen,Menü 3,,[]
66045,114,2012-08-21,Gyros aus der Pfanne mit Tzatziki,Menü,,[]
66050,114,2012-08-22,Asiatische Gemüsepfanne mit Sojawürfeln und Glasnudeln,Menü vegetarisch,,[]
66049,114,2012-08-22,Hacksteak mit Ananas und Käse überbacken dazu Pommes frites und Salatbeilage,Tagesgericht,,[]
66048,114,2012-08-22,Gebackene Hähnchenschnitte mit Tomaten-Thymiansauce,Menü 3,,[]
66053,114,2012-08-23,Frühlingsrolle mit Gemüsefüllung dazu Tomatensauce,Menü vegetarisch,,[]
66052,114,2012-08-23,Bunter Salatteller mit gegrilltem Schweinesteak und einem Brötchen,Tagesgericht,,[]
66051,114,2012-08-23,Halbes Hähnchen vom Grill,Menü 3,,[]
66056,114,2012-08-24,Bunte Paprikapfanne mit Bambussprossen und Dinkel,Menü vegetarisch,,[]
66055,114,2012-08-24,Eiernudeln mit Carbonarasauce und Parmesan dazu Salat,Tagesgericht,,[]
66054,114,2012-08-24,Fischfilet mit Remouladensauce,Menü 3,,[]
165307,114,2012-08-27,"Bunter Salatteller mit Schafskäse, Oliven und Tomaten dazu ein Brötchen",Tagesgericht,,[]
165306,114,2012-08-27,Gebackenes Hähnchenbrustfilet mit Käsesauce,Menü 3,,[]
165305,114,2012-08-27,Schweinerückensteak mit Senfsauce,Menü,,[]
165310,114,2012-08-28,Gefüllte Zucchinischiffchen mit Tomatensauce,Menü vegetarisch,,[]
165309,114,2012-08-28,Kartoffel-Gemüserösti mit Schinkenstreifen und Sauerrahmsauce,Tagesgericht,,[]
165308,114,2012-08-28,Rinderragout mit Pilzen,Menü,,[]
165313,114,2012-08-29,Spaghetti mit Petersilienpesto dazu Salat und ein Stück Obst,Tagesgericht,,[]
165312,114,2012-08-29,Gebratene Putenbrust mit Rahmsauce,Menü 3,,[]
165311,114,2012-08-29,Schweinegeschnetzeltes mit Pilzen und Gewürzgurken,Menü,,[]
165316,114,2012-08-30,Austernpilzpfanne mit Schupfnudeln dazu Kräuterdipp (vegan),Menü vegetarisch,,[]
165315,114,2012-08-30,Currywurst mit Tomatensauce und Pommes-frites dazu Salatbeilage,Tagesgericht,,[]
165314,114,2012-08-30,Putenkeulenfleisch mit Rahmsauce,Menü 3,,[]
165319,114,2012-08-31,Salatteller mit Tofuwürfeln und verschiedenen Dressings dazu ein Brötchen,Tagesgericht,,[]
165318,114,2012-08-31,Gebackenes Seelachsfilet mit Remouladensauce,Menü 3,,[]
165317,114,2012-08-31,Hähnchenspieß mit Paprikasauce,Menü,,[]
165322,114,2012-09-03,Asiatische Gemüsepilzpfanne mit Sojawürfeln,Menü vegetarisch,2.85,"['mit Konservierungsstoff', 'mit  Antioxidationsmittel', 'mit Geschmacksverstärker']"
165321,114,2012-09-03,"Bunter Salatteller mit Käse, Schinken und Ei",Tagesgericht,2.45,"['mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel']"
165320,114,2012-09-03,"Geröstete Putenbruststreifen ""türkische Art"" mit Chilisauce",Menü,2.85,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
165325,114,2012-09-04,Gebackener Hetaxkäse mit Joghurtdipp,Menü vegetarisch,2.35,[]
165324,114,2012-09-04,Limonen-Gemüsespaghetti mit Ruccolapesto und Salatbeilage,Tagesgericht,2.05,[]
165323,114,2012-09-04,"Rinderhacksteak mit Tomaten, Zwiebeln und Oliven",Menü 3,2.55,[]
165328,114,2012-09-05,Geräuchertes Tofusteak (vegan) mit Asiadipp,Menü vegetarisch,2.95,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
165327,114,2012-09-05,Bunter Salatteller mit Mozzarella und Salamistreifen,Tagesgericht,2.05,"['mit Farbstoff', 'mit Konservierungsstoff', 'mit Schweinefleisch', 'mit  Antioxidationsmittel']"
165326,114,2012-09-05,Gebackenes Hähnchenschnitzel mit Kräutersauce,Menü 3,2.95,[]
165331,114,2012-09-06,Gemüselasagne mit Sahnesauce,Menü vegetarisch,2.45,[]
165330,114,2012-09-06,Hähnchenkeule mit Currysauce dazu Pommes frites und Salat,Tagesgericht,2.05,[]
165329,114,2012-09-06,Gebackenes Schweineschnitzel mit Paprika-Rahmsauce,Menü 3,3.05,['mit Schweinefleisch']
165334,114,2012-09-07,Gemüsepfanne mit Schupfnudeln und grüner Sauce,Menü vegetarisch,2.55,['mit  Antioxidationsmittel']
165333,114,2012-09-07,2 Fischfrikadellen mit Remouladensauce und Kartoffelsalat dazu 1 Stück Obst,Tagesgericht,1.95,"['mit Konservierungsstoff', 'mit Süßungsmittel']"
165332,114,2012-09-07,Gegrilltes Schweinerückensteak mit feueriger Paprika-Pepperonisauce,Menü 3,2.95,['mit Schweinefleisch']
172681,114,2012-09-10,Getreide-Goreng mit kalter Chilisauce,Menü vegetarisch,2.3,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
172680,114,2012-09-10,"Pasta mit Spargel, Tomaten, Tomatensauce und gemischtem Salat",Tagesgericht,2.15,[]
172679,114,2012-09-10,Putenbraten in Rahmsauce,Menü 3,2.7,[]
172684,114,2012-09-11,Salatteller mit Mozzarella und verschiedenen Dressings,Tagesgericht,2.0,[]
172683,114,2012-09-11,Gedünstetes Seelachsfilet mit Tomatensauce,Menü 3,3.05,['mit Alkohol']
172682,114,2012-09-11,Gegrilltes Hähnchenbrustfilet dazu Kokos-Currysauce,Menü,2.95,[]
174466,114,2012-09-12,Geschnetzeltes von der Putenbrust mit Champignons,Menü,3.0,[]
172687,114,2012-09-12,Vollwert Gemüsepuffer mit einem Stück Obst dazu Salatbeilage,Tagesgericht,2.1,[]
172686,114,2012-09-12,Gnocchi mit Pestofüllung und Tomatensauce dazu Salatbeilage und ein Stück Obst,Menü 3,2.65,[]
172690,114,2012-09-13,Zwei Spinatknödel mit Tomatensauce,Menü vegetarisch,2.45,[]
172689,114,2012-09-13,Bunter Salatteller mit Geflügelstreifen und Weißbrot,Tagesgericht,2.2,['mit  Antioxidationsmittel']
172688,114,2012-09-13,Gegrilltes Schweinerückensteak mit Zwiebeln und Pilzen,Menü,2.95,['mit Schweinefleisch']
172693,114,2012-09-14,Kartoffel Cordon bleu mit Vollkornsauce,Menü vegetarisch,2.45,[]
172692,114,2012-09-14,Hacksteak mit Zwiebelsauce und Salzkartoffeln dazu Erbsengemüse,Tagesgericht,1.9,['mit Schweinefleisch']
172691,114,2012-09-14,Fischfilet im Backteig dazu Tomatensauce,Menü 3,3.05,[]
192397,114,2012-09-17,Kartoffelauflauf Moussaka mit kalter Kräutersauce,Menü vegetarisch,2.3,[]
192396,114,2012-09-17,"Salatteller mit Ei, Tomate und Chicken Wings dazu Knoblauchbaguette",Tagesgericht,2.15,[]
192400,114,2012-09-18,"Gebratener Reis mit Kokos, Chinakohl und Sojasprossen dazu süß-saurer Dipp",Menü vegetarisch,2.65,"['mit Konservierungsstoff', 'mit Geschmacksverstärker']"
192399,114,2012-09-18,Hühnerragout in einer Blätterteigpastete mit Reis und Salat,Tagesgericht,2.35,"['mit Alkohol', 'mit Farbstoff']"
192403,114,2012-09-19,Eierpfannkuchen mit Gemüsefüllung und kalter Currysauce,Menü vegetarisch,2.45,[]
192402,114,2012-09-19,Salatteller mit Hetaxkäse und Salamistreifen dazu Brötchen,Tagesgericht,2.35,[]
192401,114,2012-09-19,Hähnchenkeule in Rotweinsauce,Menü,2.35,['mit Alkohol']
192406,114,2012-09-20,Hausgemachter Getreidebratling mit Zucchini und Auberginen,Menü vegetarisch,2.85,[]
192405,114,2012-09-20,Hausgemachte Frikadelle mit Käse und Tomate überbacken dazu Pommes-frites und gemischter Salat,Tagesgericht,2.05,['mit Schweinefleisch']
192404,114,2012-09-20,Tortellini mit Käsefüllung und gebratenen Putenstreifen dazu Käsesauce,Menü 3,2.25,[]
